forex_name,EURUSD,AUDUSD,GBPUSD,NZDUSD,USDJPY,USDCAD,USDCHF,EURGBP,EURJPY,EURCHF,EURCAD,EURAUD,EURNZD,AUDCHF,AUDJPY,AUDNZD,AUDCAD,CADCHF,CADJPY,GBPCAD,CHFJPY,GBPAUD,GBPNZD,GBPJPY,NZDCAD,NZDJPY,NZDCHF,GBPCHF,XAUUSD

LONG,-6.93,-1.33,-7.84,-1.12,1.89,-2.45,2.59,-2.59,-3.43,-0.35,-8.54,-10.50,-12.25,2.59,1.26,-3.08,-0.77,1.47,0.42,-9.66,-3.92,-9.73,-11.90,-3.50,-0.21,2.10,2.66,-0.28,-10.15

SHORT,2.17,-2.03,2.10,-2.03,-6.65,-2.94,-6.37,-1.19,-2.10,-4.20,2.31,4.20,5.18,-5.67,-5.04,-1.75,-3.50,-4.76,-4.48,2.17,-0.77,2.17,3.43,-3.15,-3.85,-5.74,-5.81,-5.18,0.63

