EURUSD,AUDUSD,GBPUSD,NZDUSD,USDJPY,USDCAD,USDCHF,EURGBP,EURJPY,EURCHF,EURCAD,EURAUD,EURNZD,AUDCHF,AUDJPY,AUDNZD,AUDCAD,CADCHF,CADJPY,GBPCAD,CHFJPY,GBPAUD,GBPNZD,GBPJPY,NZDCAD,NZDJPY,NZDCHF,GBPCHF,XAUUSD
-6.94,0.53,-4.34,1,4.22,-0.15,5.28,-1.87,-1.22,0.17,-5.51,-10.58,-11.07,5.48,4.87,-0.8,1.9,3.18,1.89,-2.68,-2.6,-8.26,-9.02,1.54,2.82,3.17,5.18,2.31,-5.77
5.09,-2.68,3.23,-1.84,-4.99,-4.02,-6.01,1.16,0.56,-2.24,4.8,8.32,9.41,-6,-5.09,0.26,-3.02,-3.77,-2.58,1.12,1.62,7.15,7.3,-2.29,-3.17,-7.05,-5.77,-5.05,4.05
