EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116278,129665,95035,111964,125942,79093,74270,163420,99392,75023,88737,106505,146699,146484,110716,89671,130160,156807,117721,123402,70268,75528,88853,164588,92724,145326,174739,82903,1246713
116277,129643,95073,112033,125973,79073,74255,163428,99341,75081,88757,106426,146619,146462,110766,89669,130183,156779,117650,123423,70168,75473,88876,164631,92684,145457,174786,83044,1246913
116281,129694,95080,112034,125935,79085,74296,164089,99412,75105,88373,106466,146614,146452,110827,89653,130114,156778,117682,123379,70264,75512,88843,164634,92737,145358,174826,82983,1246483
116259,129716,95100,112029,125954,79098,74349,164483,99430,75130,88187,106427,147284,146418,110701,89642,130155,156694,117684,123403,70275,75459,88823,164626,92657,145431,174777,82993,1246313
116283,129759,95087,111928,125976,79086,74264,164376,99433,75153,88275,106333,147508,146421,110690,89635,130174,156617,117659,123390,70201,75513,88874,164655,92696,145449,174933,83009,1245683
116289,129790,95100,111959,126030,78966,74247,164517,99471,75165,88205,106291,147410,146536,110659,89617,130168,156703,117703,123312,70225,75489,88883,164645,92684,145530,174673,83106,1245953
116321,129820,95080,111940,126000,78929,74295,164387,99561,75147,88274,106264,147546,146508,110731,89651,130191,156618,117632,123433,70260,75505,88883,164585,92780,145007,174753,83148,1245343
116323,129849,95026,111905,125956,78963,74334,164469,99485,75101,88252,106247,147427,146621,110682,89664,130274,156607,117653,123384,70319,75485,88883,164624,92902,145130,174818,83082,1244293
116395,129936,95057,111885,125940,79007,74298,164459,99493,75138,88306,106247,147495,146581,110722,89682,130280,156623,117636,123398,70440,75533,88927,164648,92764,145098,174833,83071,1244123
116437,129812,95037,111814,125877,79016,74329,164365,99471,75105,88367,106309,147494,146684,110760,89773,130249,156627,117661,123499,70452,75561,88886,164654,92669,144957,174804,83105,1243713
116534,129970,94998,111747,125880,79061,74291,164387,99461,75021,88337,106328,147405,146736,110758,89725,130158,156728,117659,123546,70461,75544,88903,164631,92664,144781,174767,83106,1243843
116544,129863,94991,111766,125898,79033,74324,164277,99329,75004,88350,106341,147418,146604,110687,89810,130201,156702,117642,123533,70488,75549,88853,164635,92601,144889,174791,83079,1243203
116622,129848,94922,111767,125833,79084,74379,164253,99330,75067,88403,106367,147290,146503,110688,89695,130213,156872,117595,123551,70471,75567,88893,164632,92655,144756,174766,83058,1243253
116642,129903,95015,111805,125820,79180,74394,164217,99351,75113,88435,106415,147250,146406,110638,89618,130174,156797,117511,123587,70468,75553,88923,164654,92693,144777,174889,83052,1242773
116478,129945,94993,111816,125776,79229,74388,164195,99377,75138,88441,106463,147216,146531,110608,89555,130231,156782,117489,123523,70460,75566,88893,164651,92699,144838,174756,82983,1242873
116424,129903,94992,111814,125781,79263,74391,164110,99430,75170,88490,106517,147160,146455,110580,89624,130193,157000,117506,123558,70467,75590,88860,164576,92857,144979,174762,83042,1243363
116384,129942,94963,111744,125806,79255,74397,164192,99466,75154,88412,106500,147145,146478,110634,89565,130230,156816,117453,123581,70496,75556,88853,164539,92906,145002,174721,83105,1243573
116434,129962,94916,111745,125869,79227,74442,164270,99421,75187,88374,106453,147231,146560,110613,89575,130258,156638,117517,123597,70500,75537,88805,164524,93067,144996,174788,83038,1243423
116398,129921,94931,111746,125837,79234,74433,164090,99485,75236,88402,106399,147334,146529,110607,89654,130351,156501,117531,123554,70517,75545,88853,164602,93007,145110,174793,83027,1243733
