EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
109256,122522,99301,103944,98911,76254,71972,159022,100812,75716,79260,105902,143262,144459,108494,89172,113570,151743,104661,121658,69934,75081,78604,161071,93600,127338,109256,172446,1315713
109265,122483,99265,103941,98924,76251,71942,159011,100798,75683,79252,105942,143274,144457,108464,89197,113573,151822,104698,121577,69930,75061,78610,161111,93559,127303,109265,172307,1314983
109285,122511,99238,103936,98901,76244,71912,159072,100868,75653,79230,105964,143243,144572,108468,89172,113600,151871,104678,121588,69888,75008,78555,161112,93498,127345,109285,172791,1314303
109238,122498,99275,103959,98827,76251,71872,159127,100868,75693,79277,106032,143223,144510,108446,89150,113559,151881,104663,121602,69915,75009,78554,161175,93594,127349,109238,172677,1314603
109273,122540,99261,103994,98852,76264,71889,159113,100855,75693,79310,106045,143260,144517,108468,89158,113643,151941,104753,121632,69875,75029,78621,161225,93514,127430,109273,172607,1313773
109289,122549,99259,104108,99024,76318,71861,159098,100939,75746,79452,106155,143181,144559,108483,89167,113781,152013,104869,121637,69952,75018,78696,161438,93654,127577,109289,172644,1313563
109196,122423,99369,104137,99038,76306,71824,159631,100999,75819,79460,106192,143083,144552,108510,89188,113718,151963,104783,121645,70224,75042,78656,161437,93944,127479,109196,172624,1313953
109100,122392,99413,104098,99105,76226,71751,159623,100939,75775,79346,106191,143104,144486,108460,89130,113574,151980,104695,121669,70235,75040,78589,161452,93998,127400,109100,172741,1314593
108999,122367,99515,104139,99191,76309,71717,159905,101059,75931,79465,106355,142815,144371,108474,89064,113515,151916,104628,121767,70121,75109,78611,161490,93833,127421,108999,172554,1314743
109040,122367,99496,104093,99255,76289,71676,160036,101022,75900,79409,106398,142909,144406,108494,89098,113507,152071,104603,121747,70158,75106,78590,161414,93823,127368,109040,172531,1314073
109026,122393,99509,104091,99042,76296,71686,160004,101051,75917,79415,106383,142876,144417,108494,89068,113489,152024,104587,121789,70075,75102,78572,161380,93737,127395,109026,172373,1314323
109046,122396,99473,103823,99112,76372,71723,159972,101114,75962,79287,106437,142758,144387,108472,89081,113216,151969,104353,121745,70114,75104,78398,161427,93730,127068,109046,171800,1314583
109075,122430,99419,103959,99035,76429,71681,160324,101175,75980,79457,106581,142687,144404,108442,89083,113396,152100,104553,121716,70187,75076,78517,161613,93670,127274,109075,171806,1314533
108815,122392,99500,103841,98861,76408,71660,160247,101248,76021,79341,106580,142387,144203,108275,88897,112994,151776,104349,121775,70152,75059,78347,161552,93702,127088,108815,171974,1315073
108804,122281,99484,103772,99079,76285,71605,160007,101095,75882,79159,106490,142609,144205,108244,88968,112913,151885,104297,121642,70055,75036,78286,161567,93504,126888,108804,171622,1315893
109013,122312,99431,103842,99139,76359,71664,160262,101051,75920,79289,106502,142742,144277,108394,89118,113205,152043,104423,121611,70167,75105,78448,161569,93477,127004,109013,171872,1315163
108905,122081,99437,103703,99128,76334,71645,159801,101035,75896,79158,106499,142648,144161,108295,89201,112942,151938,104279,121387,70228,75096,78331,161195,93479,126598,108905,171855,1314383
108886,122036,99423,103724,99295,76308,71667,159816,100974,75863,79148,106431,142673,144099,108263,89218,112945,151868,104313,121327,70221,75106,78368,161411,93528,126576,108886,171645,1316013
108723,121786,99561,103714,99319,76129,71465,159832,101508,75788,78953,106476,142794,144985,108249,89265,112763,152063,104157,121246,70130,74636,77763,161275,93411,126306,108723,171856,1315253
108726,121914,99522,103659,99289,76020,71534,159785,101350,75651,78799,106224,142998,144969,108207,89173,112707,151921,104141,121324,70127,74616,77733,161359,93298,126371,108726,172271,1311423
108708,121941,99550,103812,99254,75988,71556,160402,101312,75639,78882,106149,143039,144955,108221,89140,112854,151853,104269,121387,70143,74634,77841,161744,93316,126583,108708,172404,1314563
108653,122087,99516,103952,99311,75961,71514,160370,101204,75588,78961,106173,143018,144780,108129,88991,112950,151866,104447,121489,70197,74665,78006,161659,93296,126906,108653,172501,1318813
108740,122355,99481,103922,99300,75982,71549,160782,101223,75582,78959,106148,143088,144878,108176,88864,113004,151911,104453,121715,70149,74644,77987,161969,93152,127146,108740,171676,1319943
108638,122238,99509,103912,99381,75913,71454,160623,101274,75534,78881,106193,143087,144949,108105,88867,112889,151972,104413,121629,70205,74558,77871,161940,93100,127012,108638,171776,1319513
108734,122269,99415,103825,99407,76033,71556,160641,101411,75582,78940,106213,142986,145042,108099,88919,112897,151892,104425,121546,70115,74507,77825,161988,93070,126943,108734,171830,1320623
108803,122213,99348,103822,99356,75999,71594,160609,101264,75500,78904,106107,143141,144984,108092,89018,112965,151902,104491,121414,69942,74536,77902,161922,92872,126881,108803,171955,1319993
108736,122270,99331,103689,99334,76053,71604,160565,101197,75516,78927,105998,142983,144884,108112,88825,112723,151763,104355,121467,70202,74255,77628,162064,93129,126807,108736,172027,1323853
108799,122217,99414,103835,99305,76033,71546,160603,101429,75582,78950,106197,143033,145146,108172,88989,112977,151951,104415,121495,70098,74492,77807,162048,93035,126891,108799,171779,1328143
