EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
126681,161031,95331,107974,112151,88120,78728,183327,98886,83733,95104,111902,144040,142502,121189,78849,137016,161424,113647,152962,74885,84638,96199,180897,89219,173280,202937,85002,1311301
126753,161057,95328,107904,112190,88199,78772,183133,98864,83687,95043,111938,144148,142543,121217,78899,137122,161252,113552,152873,74830,84639,96186,180854,89243,173502,203091,85062,1312379
126870,161030,95380,107994,112190,88128,78763,183166,98953,83721,95239,111863,144095,142549,121229,78876,136998,161258,113650,152942,74993,84643,96137,180902,89327,173576,202891,85004,1310527
126982,161042,95410,107965,112178,88163,78731,182951,98958,83707,95192,111956,144100,142507,121244,78891,137117,161267,113642,152911,74860,84625,96155,180798,89329,173809,202989,84936,1313236
127064,160950,95284,107922,112275,88148,78698,183021,98983,83635,95150,111986,144218,142531,121250,78878,137110,161339,113710,152930,74799,84625,96054,180907,89371,173938,202930,84928,1311532
127051,161003,95397,107961,112316,88013,78665,182850,98966,83593,95176,111858,144298,142543,121224,78863,137212,161385,113679,152943,74833,84611,96008,180815,89216,173682,202676,84965,1312360
127056,161063,95312,108017,112266,87942,78661,183038,98936,83597,95179,111781,144237,142512,121197,78819,137183,161330,113629,153047,74869,84634,95919,180869,89425,173741,202433,84941,1311362
127038,160986,95256,107856,112288,87999,78753,182756,98969,83729,95191,111713,143961,142426,121187,78795,137108,161307,113601,153003,74921,84662,95971,180910,89483,173733,202515,84896,1311139
126946,161011,95120,107834,112406,88095,78728,182678,99003,83720,95136,111873,143991,142393,121181,78780,137059,161141,113620,153011,75038,84636,95908,180880,89512,173907,202605,84836,1310461
126912,160948,95053,107840,112398,87964,78668,182670,98973,83692,95022,111795,144060,142454,121200,78670,137093,161067,113501,153243,74866,84564,95852,180727,89545,173955,202541,84869,1310847
126941,161146,95222,107891,112420,87967,78662,182319,99048,83606,94994,111807,144210,142579,121134,78739,136917,160989,113440,153129,74902,84532,95977,180590,89589,173957,202453,84905,1314787
