EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111728,129367,100915,114303,136694,73677,69348,176211,100675,74332,84192,106178,147427,148414,109593,83944,124091,156479,113258,130565,69973,73788,83615,177438,94787,147868,186846,79282
111690,129366,100922,114327,136688,73657,69348,176196,100694,74316,84213,106169,147392,148428,109599,83951,124095,156516,113278,130561,69987,73793,83609,177294,94798,147899,186793,79275
111727,129366,100923,114308,136684,73655,69329,176252,100694,74323,84207,106159,147378,148472,109597,83927,124105,156520,113264,130556,69998,73791,83595,177335,94813,147882,186805,79292
111737,129376,100897,114335,136690,73628,69306,176141,100698,74345,84193,106168,147371,148500,109609,83933,124127,156557,113284,130556,69982,73801,83615,177296,94796,147944,186784,79278
111713,129397,100894,114321,136729,73616,69335,176090,100655,74344,84180,106165,147410,148494,109610,83936,124156,156602,113272,130586,69979,73803,83602,177314,94821,147947,186768,79274
111775,129416,100860,114313,136729,73641,69333,176105,100646,74352,84157,106180,147438,148510,109617,83944,124157,156663,113293,130606,69977,73773,83628,177367,94823,147958,186757,79233
111744,129438,100872,114293,136731,73648,69329,176120,100639,74329,84179,106168,147488,148460,109599,83927,124179,156617,113280,130595,69960,73786,83620,177394,94796,147958,186787,79257
111764,129458,100880,114280,136740,73636,69336,176142,100641,74324,84174,106139,147525,148491,109623,83919,124171,156666,113238,130608,69926,73814,83603,177421,94763,147939,186755,79242
111771,129456,100874,114276,136679,73626,69332,176129,100635,74300,84150,106152,147486,148543,109617,83913,124171,156711,113292,130567,69938,73818,83603,177472,94767,147931,186810,79228
111784,129458,100874,114247,136669,73627,69323,176127,100613,74287,84133,106148,147507,148500,109606,83922,124187,156663,113271,130581,69930,73843,83609,177461,94757,147847,186787,79231
111794,129409,100878,114291,136682,73616,69344,176162,100583,74296,84114,106119,147570,148445,109606,83945,124205,156658,113265,130542,69906,73861,83652,177530,94759,147897,186819,79209
111788,129409,100876,114276,136671,73622,69344,176163,100554,74297,84134,106101,147561,148428,109605,83926,124171,156682,113234,130532,69920,73865,83668,177502,94762,147856,186843,79229
111810,129388,100872,114270,136630,73607,69362,176214,100530,74264,84130,106095,147546,148387,109606,83950,124132,156643,113275,130515,69922,73822,83681,177504,94736,147872,186899,79240
111830,129407,100882,114235,136613,73619,69343,176162,100490,74262,84109,106120,147573,148366,109617,83953,124186,156654,113245,130538,69908,73857,83662,177531,94704,147851,186894,79237
111815,129428,100873,114269,136570,73621,69359,176110,100498,74268,84098,106123,147570,148352,109613,83969,124171,156611,113214,130555,69930,73875,83641,177522,94701,147896,186927,79234
111830,129430,100882,114260,136540,73638,69379,176139,100558,74251,84123,106098,147605,148449,109620,83962,124174,156662,113199,130552,69930,73878,83665,177551,94682,147879,187006,79237
111888,129432,100885,114218,136529,73640,69347,176149,100548,74261,84134,106118,147582,148376,109619,83948,124133,156612,113246,130567,69948,73862,83666,177487,94699,147838,187019,79246
111878,129440,100873,114211,136609,73624,69323,176141,100514,74246,84107,106158,147593,148338,109617,83954,124179,156585,113228,130561,69928,73863,83653,177475,94728,147839,187003,79238
111845,129447,100874,114262,136556,73621,69385,176073,100494,74257,84083,106107,147539,148338,109620,83946,124154,156644,113238,130586,69949,73850,83670,177569,94713,147882,186986,79201
111829,129427,100873,114230,136510,73649,69375,176099,100518,74255,84121,106130,147546,148363,109615,83946,124122,156682,113220,130569,69962,73844,83660,177551,94706,147841,186973,79210
111835,129427,100875,114242,136516,73659,69363,176137,100538,74281,84128,106138,147574,148343,109609,83937,124107,156550,113255,130553,69938,73865,83650,177484,94667,147848,186929,79258
111831,129417,100873,114222,136551,73649,69316,176201,100576,74277,84149,106217,147561,148375,109611,83941,124152,156572,113256,130545,69918,73857,83631,177465,94661,147822,186842,79255
111823,129419,100876,114260,136527,73660,69318,176155,100567,74267,84122,106203,147515,148391,109613,83945,124123,156614,113240,130543,69971,73853,83680,177503,94730,147857,186820,79223
111795,129412,100873,114259,136558,73656,69260,176197,100552,74268,84161,106274,147491,148359,109619,83952,124135,156722,113263,130537,69962,73866,83675,177545,94737,147865,186889,79198
111801,129418,100887,114246,136566,73644,69256,176209,100555,74286,84156,106285,147520,148375,109621,83954,124119,156715,113265,130544,69946,73865,83656,177473,94722,147823,186631,79202
111785,129396,100886,114268,136529,73644,69214,176143,100551,74298,84134,106338,147502,148386,109620,83962,124166,156836,113257,130524,69901,73852,83690,177409,94636,147846,186787,79127
111819,129388,100870,114285,136538,73635,69397,176150,100533,74286,84155,106128,147515,148368,109626,83963,124172,156848,113220,130517,69903,73801,83687,177366,94646,147857,186768,79140
111815,129381,100864,114264,136553,73641,68557,176061,100535,74301,84152,107088,147533,148382,109634,83973,124152,156960,113273,130525,69848,73778,83671,177367,94578,147839,186837,79099
111784,129372,100856,114294,136525,73466,68473,176061,100543,74293,84148,107296,147538,148381,109630,83985,124191,156379,113284,130516,69841,73796,83690,177371,94554,147811,186830,79303
111794,129339,100899,114325,136547,73504,68450,176093,100314,74283,83975,107354,147555,148378,109612,83983,124193,158380,113261,130460,69809,73828,83654,177328,94509,147850,187005,78362
111809,129327,100883,114309,136543,73506,68452,176084,100422,74283,84031,107395,147461,148469,109596,83989,124181,158589,113288,130435,69954,73819,83654,177327,94729,147886,186949,78292
111802,129382,100843,114301,136536,73541,68520,176066,100419,74283,84025,107284,147813,148449,109606,83987,124220,158658,113314,130469,69118,73790,83653,177363,93600,147850,186968,78249
111831,129347,100854,114313,136640,73547,68511,176115,100474,74273,84060,107279,147793,148440,109633,84010,124226,158648,113321,130503,69050,73797,83660,177361,93569,147835,187001,78250
111870,129339,100883,114328,136621,73561,68460,176110,100474,74110,84083,107386,147743,148435,109615,83976,124215,158483,113271,130466,69021,73809,83671,177374,93523,147864,187011,78335
111849,129333,100883,114322,136626,73560,68476,176123,100484,74128,84100,107356,147704,148420,109576,83977,124193,158420,113262,130419,69054,73785,83672,177359,93524,147868,187048,78335
111843,129342,100858,114310,136625,73555,68455,176107,100484,74147,84097,107418,147676,148451,109594,84000,124208,158630,113277,130450,69118,73771,83650,177367,93613,147854,187210,78269
111834,129340,100871,114303,136615,73563,68439,176086,100493,74205,84088,107458,147639,148452,109615,83989,124221,158569,113268,130478,69090,73782,83609,177407,93597,147808,187377,78293
111810,129318,100856,114283,136614,73576,68482,176120,100533,74193,84084,107366,147675,148478,109609,83995,124237,158610,113282,130452,69034,73761,83605,177420,93528,147774,187303,78257
111836,129319,100862,114280,136637,73555,68500,176104,100559,74171,84085,107380,147665,148531,109615,83984,124210,158694,113277,130428,69073,73757,83610,177465,93569,147789,187270,78221
111834,129326,100882,114275,136670,73587,68486,176086,100514,74185,84055,107382,147636,148516,109610,84002,124191,158609,113263,130436,69056,73780,83585,177452,93567,147799,187394,78267
